searchval,blk_no,road_name,building,address,postal,x,y,latitude,longitude,query,category
craig road,,craig road,nil,craig road,nil,28997.2545365965,28923.8769675307,1.27785386514379,103.84227791037,craig road,condo
nassim hill,,nassim hill,nil,nassim hill,nil,26660.3784552917,32147.6077179748,1.30700690445532,103.821279952732,nassim hill,condo
aston lodge,56,lorong 8 geylang,aston lodge,56 lorong 8 geylang aston lodge singapore 399116,399116,32869.7239810666,32493.1468290668,1.31013061106888,103.877075411974,aston lodge,condo
keng lee court,74a,keng lee road,keng lee court,74a keng lee road keng lee court singapore 219250,219250,29587.7575775469,32816.2824960686,1.31305327939456,103.847585369175,keng lee court,condo
bukit batok street 41,,bukit batok street 41,nil,bukit batok street 41,nil,17796.7487154491,37581.8883166302,1.35615002216136,103.741635743407,bukit batok street 41,condo
sophia road,,sophia road,nil,sophia road,nil,29572.0506028442,31602.1625483582,1.30207416743824,103.847440560966,sophia road,condo
boon teck road,,boon teck road,nil,boon teck road,nil,29868.8383128385,34354.3742285955,1.32696389310037,103.850111651353,boon teck road,condo
carissa park condominium,4,flora drive,carissa park condominium,4 flora drive carissa park condominium singapore 507026,507026,42404.5574884955,37876.1688939463,1.35880965015328,103.962752963686,carissa park condominium,condo
rosewood,3,rosewood drive,rosewood,3 rosewood drive rosewood singapore 737935,737935,22691.6104942001,45871.1001149472,1.43111592652524,103.785617730116,rosewood suites,condo
leith grove,6,leith park,leith grove,6 leith park leith grove singapore 547933,547933,32511.0528536784,38262.8198968228,1.36230952965649,103.873853433408,leith grove,condo
enchantÉ (u/c),3,evelyn road,enchantÉ (u/c),3 evelyn road enchantÉ (u/c) singapore 309727,309727,28780.6088832896,33126.4946723282,1.31585875980621,103.84033274534,enchant,condo
evergreen view,15,lorong 36 geylang,evergreen view,15 lorong 36 geylang evergreen view singapore 398150,398150,34146.4716952508,32868.6807344723,1.31352657764499,103.888547680917,evergreen view,condo
lloyd sixtyfive,65,lloyd road,lloyd sixtyfive,65 lloyd road lloyd sixtyfive singapore 239114,239114,28625.6429813253,31071.3707065303,1.29727294661043,103.838940257017,lloyd sixtyfive,condo
rezi 24,39,lorong 24 geylang,rezi 24,39 lorong 24 geylang rezi 24 singapore 398636,398636,33593.1754651414,32651.6821132787,1.31156422500946,103.883576001591,rezi 24,condo
gilstead road,,gilstead road,nil,gilstead road,nil,28615.2019963094,33282.7093951549,1.31727235412007,103.838846441924,gilstead road,condo
castle loft,133,lorong k telok kurau,castle loft,133 lorong k telok kurau castle loft singapore 425770,425770,37053.717978376,32926.2686608285,1.31404666379164,103.914670735105,castle loft,condo
jansen 8,8d,jansen road,jansen 8,8d jansen road jansen 8 singapore 544913,544913,33005.8063236177,37896.436517451,1.3589960106353,103.878299065035,jansen mansions,condo
la fleur,8,lorong 26 geylang,la fleur,8 lorong 26 geylang la fleur singapore 398483,398483,33704.5213585347,32749.0253715087,1.31244454232324,103.884576516653,la fleur,condo
hai sing park,9,hai sing road,hai sing park,9 hai sing road hai sing park singapore 538913,538913,34703.2480775919,38623.9109192397,1.36557469189256,103.893551862143,yuen sing mansion,condo
kentish green,20,oxford road,kentish green,20 oxford road kentish green singapore 218815,218815,30055.3929922972,33097.8864334989,1.31559997820356,103.851787324083,kentish green,condo
woodsville 28,28,woodsville close,woodsville 28,28 woodsville close woodsville 28 singapore 357776,357776,31898.8742868891,34694.1654123776,1.33003597946809,103.86835213611,woodsville 28,condo
102 bidadari park drive singapore 340102,102,bidadari park drive,nil,102 bidadari park drive singapore 340102,340102,32269.6637161141,35446.2052189484,1.33683710958151,103.871683990431,bidadari park drive,condo
buckley road,,buckley road,nil,buckley road,nil,28815.75969814,33290.5610068133,1.31734251685573,103.84064859753,buckley road,condo
hillview garden estate,11,chu lin road,hillview garden estate,11 chu lin road hillview garden estate singapore 669902,669902,19885.9846683517,37735.6348574217,1.35754109231251,103.760408831478,hillview garden estate,condo
the blossomvale,900,dunearn road,the blossomvale,900 dunearn road the blossomvale singapore 589473,589473,22380.1246714527,35435.4200401865,1.33673935083253,103.782820735846,the blossomvale,condo
d'mira,31,boon teck road,d'mira,31 boon teck road d'mira singapore 329602,329602,29840.2237983076,34415.7613759171,1.32751838640442,103.849853998922,d'mira,condo
waterford residence,23,kim yam road,waterford residence,23 kim yam road waterford residence singapore 239333,239333,28724.3879196132,30715.1175067537,1.2940511158378,103.839827515576,waterford residence,condo
celestia,160,joo chiat terrace,celestia,160 joo chiat terrace celestia singapore 427305,427305,35912.347816742,32995.5087318048,1.31467316091814,103.9044149803,celestia,condo
dahlia park condominium,7,flora drive,dahlia park condominium,7 flora drive dahlia park condominium singapore 507012,507012,42703.8283940023,37879.4292400796,1.35883898900628,103.965442105661,dahlia park condominium,condo
d'oasia,11,lorong melayu,d'oasia,11 lorong melayu d'oasia singapore 416905,416905,36562.9590650527,33548.0193563979,1.31966969295307,103.910261197479,d'oasia,condo
apollo gardens,16,sunbird road,apollo gardens,16 sunbird road apollo gardens singapore 487141,487141,41788.4783471804,35688.5954095386,1.33902635197562,103.957216097405,apollo gardens,condo
high street centre,1,north bridge road,high street centre,1 north bridge road high street centre singapore 179094,179094,29769.3729863102,30265.9206212517,1.28998869553165,103.84921712944,high street centre,condo
73 farrer drive singapore 259280,73,farrer drive,nil,73 farrer drive singapore 259280,259280,24891.5387339331,32660.5356801245,1.31164464401606,103.805387528034,farrer drive,condo
saint patrick's court,21c,saint patrick's road,saint patrick's court,21c saint patrick's road saint patrick's court singapore 424143,424143,36780.6968909446,32275.3518874906,1.30816008690643,103.912217322271,st patrick's court,condo
arthur road,,arthur road,nil,arthur road,nil,34081.6650313626,31546.2245379106,1.30156678243621,103.887965104954,arthur road,condo
the verv @ rv,348,river valley road,the verv @ rv,348 river valley road the verv @ rv singapore 238374,238374,28153.0935896868,30973.8621548414,1.29639111945043,103.834694192111,the verv @ rv,condo
clementiwoods condominium,88,west coast road,clementiwoods condominium,88 west coast road clementiwoods condominium singapore 126819,126819,20752.1715794047,31012.2393854167,1.2967373465903,103.76819367598,clementiwoods condominium,condo
gillenia,35,rosyth road,gillenia,35 rosyth road gillenia singapore 546195,546195,33071.1641624663,38328.5655896142,1.36290401961155,103.878886421716,gillenia,condo
phoenix residences (u/c),81,phoenix avenue,phoenix residences (u/c),81 phoenix avenue phoenix residences (u/c) singapore 668383,668383,19540.4689752627,39680.8954254016,1.37513322287524,103.757303595176,phoenix residences,condo
ang mo kio avenue 8 park connector,,nil,ang mo kio avenue 8 park connector,ang mo kio avenue 8 park connector,nil,30094.264408242,38565.2233570348,1.36504462755741,103.852136980515,ang mo kio avenue 8,condo
ferraria park condominium,16,flora drive,ferraria park condominium,16 flora drive ferraria park condominium singapore 506945,506945,42489.9898713809,37700.5176400337,1.35722108540727,103.963520543288,ferraria park condominium,condo
